#{"t_start": 1657722338.7432427, "env_id": "CustomHopper-source-v0"}
r,l,t
1013.76565,365,81.912535
630.123579,216,82.057708
1000.682795,347,82.292197
875.263535,288,82.486213
738.133897,237,82.64574
1019.500156,342,82.87708
267.437801,124,82.96109
805.810757,256,83.135408
832.897258,297,83.529446
1011.942202,341,83.758311
835.555786,276,83.944213
721.518476,231,84.100348
901.466139,281,84.28995
557.495635,192,84.424696
738.477653,234,84.612776
1041.9065,336,85.060559
962.198905,311,85.292918
767.837902,250,85.476789
914.648411,301,85.691315
697.770063,221,85.841762
553.082077,189,85.972182
1244.284339,428,86.276413
914.81901,302,86.686
942.497295,311,86.90028
570.09091,202,87.038512
835.232569,279,87.232174
239.465267,109,87.310094
894.279955,288,87.514004
1028.595699,351,87.768172
843.049262,266,87.974889
650.23978,212,88.349759
788.37312,254,88.568618
962.751015,324,88.800037
908.697227,294,89.023339
1028.458211,345,89.293125
1056.92304,342,89.54111
782.251711,278,89.737498
793.702471,255,90.142552
746.816114,246,90.335302
1148.101528,393,90.629528
528.748668,173,90.779741
1254.346076,433,91.108011
1139.534557,395,91.410907
784.807864,258,91.607841
817.5494,275,92.014011
1058.931618,366,92.30717
895.383017,279,92.521801
833.651702,269,92.716542
627.178792,201,92.857957
654.298598,214,93.00835
622.04729,198,93.146345
897.45346,284,93.350717
1307.516547,500,93.963323
670.240606,205,94.108699
774.277463,245,94.288991
717.419969,219,94.449791
1001.330121,326,94.681189
705.008491,225,94.838776
805.069259,262,95.022575
1197.400546,372,95.515587
1221.71793,428,95.880982
1323.679688,500,96.269398
1502.079668,498,96.616247
1227.840985,398,97.100396
572.595656,211,97.250062
719.299701,218,97.418998
974.104323,310,97.640811
658.328477,205,97.792281
670.185571,208,97.955844
533.432793,174,98.093159
932.988074,293,98.327588
848.534192,267,98.537963
406.265933,146,98.908043
745.052918,227,99.087393
783.925016,240,99.268227
762.946454,228,99.427665
784.84618,245,99.594542
995.547429,322,99.814862
663.41107,207,99.954935
919.184968,288,100.156179
573.578122,182,100.279944
1247.652859,500,100.823351
1279.641557,403,101.102819
637.016794,201,101.248432
1041.790158,305,101.482774
921.63369,277,101.704334
1252.230779,392,102.00843
644.310684,206,102.383049
1074.813164,350,102.649685
776.932346,235,102.834743
1139.962977,362,103.09102
1398.973145,500,103.444761
753.238459,229,103.605689
908.253219,291,104.011914
1202.252726,500,104.354293
1116.209851,372,104.606272
543.290015,164,104.717095
919.72829,284,104.90803
938.396433,290,105.103589
1461.694203,500,105.636569
841.961741,324,105.856609
900.499421,271,106.039302
440.125444,185,106.164806
898.709624,267,106.345152
1175.165543,379,106.600841
1280.961928,425,106.887568
995.252753,369,107.333423
1428.760936,500,107.673322
1048.142598,337,107.901021
1269.048675,500,108.240759
958.665155,315,108.453425
1059.993905,341,108.878995
978.840782,306,109.086432
1385.545219,500,109.431065
1200.954215,380,109.687608
816.296214,292,109.884875
1490.468054,500,110.41872
963.929378,295,110.617258
1108.245044,353,110.85532
1080.840197,330,111.094065
985.968878,303,111.311631
844.088989,305,111.518312
814.593616,248,111.689189
1086.22011,363,112.131796
1044.44059,324,112.352556
875.271611,270,112.534504
1305.612881,408,112.810403
1028.039641,343,113.04461
860.080127,271,113.230833
680.562277,212,113.573711
938.533038,293,113.775732
1108.347674,361,114.020028
1026.17884,331,114.244444
633.067308,203,114.385472
617.11654,194,114.523262
936.647059,290,114.737778
962.171599,294,115.134324
745.145292,231,115.293069
957.510128,310,115.508614
1272.346297,433,115.808987
754.325617,226,115.965771
968.36955,307,116.20198
1000.52142,313,116.425619
808.275535,265,116.851344
1284.832536,434,117.170276
779.671386,240,117.349776
1370.138957,448,117.65805
1294.173404,399,117.930284
1100.370013,341,118.167951
852.763652,254,118.544001
657.049315,204,118.686893
1116.880848,369,118.944542
1268.184935,424,119.265638
